review_id,date,rating,title,text,version,device,country
12695514987,2025-05-25,5,Danielle Kent,Sorensen,136.3240.77,ios-all,DK
12690455172,2025-05-24,5,Gg,Good game edge,136.3240.77,ios-all,MY
12691233001,2025-05-24,3,It used to be good but now...,I have notices edge has become heavy and drags itself. Has become slow when I open multiple tabs. Webpages don't remain open even when revisiting the app after 10-15 minutes. Serious RAM management.,136.3240.77,ios-all,IN
12691544045,2025-05-24,5,Hub,Hub,136.3240.77,ios-all,SA
12692280280,2025-05-24,5,AI 브라우저,참~편리합니다 추천합니다^^,136.3240.77,ios-all,KR
12692694717,2025-05-24,5,2424,2424,136.3240.77,ios-all,CO
12693582175,2025-05-24,4,缺少图片翻译功能,safari已经支持了，你落后了。快加上吧，我希望电脑和手机都是用edge,136.3240.77,ios-all,CN
12693907329,2025-05-24,5,Best browser,Amazing in every aspect!,136.3240.77,ios-all,IL
12686825839,2025-05-23,1,แแ/  ิ ไ,🍈🍈🍌,136.3240.77,ios-all,TH
12686841489,2025-05-23,1,為何不敢上架這則評論？請修正翻譯器將中國台灣改為「臺灣」。,臺灣就是臺灣，沒有中國台灣。中國是中國，臺灣是臺灣。翻譯器一日不改，一日負評。臺灣Taiwan = 中華民國 = R.O.C.三位一體，不該參雜其他試圖侵掠我國之國名於前。,136.3240.77,ios-all,TW
12687378999,2025-05-23,1,Falta suporte à operações comuns,"Não consigo realizar saque de uma casa de apostas, a casa sugere utilizar Safari ou Chrome, o que denota suposta falta de segurança do navegador.",136.3240.77,ios-all,BR
12687781944,2025-05-23,5,Thank,Thank 3 time,136.3240.77,ios-all,TH
12688362273,2025-05-23,5,Beautiful,I trust. Thank You,136.3240.77,ios-all,US
12688481877,2025-05-23,5,这个太好用了,感觉比百度好多了，比人一个浏览器都很不错,136.3240.77,ios-all,CN
12690083531,2025-05-23,1,CAN'T LOGIN,"can't login... always ""too many request"" BUT THIS IS MY FIRST TIME... WHAT TOO MANY?!!!!",136.3240.77,ios-all,ID
12683615209,2025-05-22,1,Tracker—> Microsoft go home!!!! GELÖSCHT/DElLETED,"Es gibt ja doch zum Glück viele gute andere Browser. Wir brauchen keine Firmen, die aus unseren persönlichen Daten Geld schlagen. Mit Tracker werden Preise auf Websites / Shops teurer als bei Benutzung von Browsern ohne Datensammlung/Weitergabe. Mit diesem Browser würde ich af keinen Fall auf meine Banking Homepage gehen! NIEMALSWe don’t need companys, who make money from our personal Data.With Tracker this browser costs you much more than you think!Prices on Websites, if they know enough from you, are more expensive, than if you would use a browser with less rights",136.3240.77,ios-all,DE
12683815085,2025-05-22,5,Hey Microsoft,May 2025 It’s lookin’ good 👍🏻 Wow! 🔔🔔🔔🔔🔔🔔🔔🔔🔔🔔🔔🔔,136.3240.77,ios-all,US
12684032240,2025-05-22,3,뒤로가기 오류,네이트에서 뉴스 기사 보고 뒤로가기 누르면 네이트 홈으로 이동함,136.3240.77,ios-all,KR
12684787459,2025-05-22,1,为什么没有拓展,为什么没有拓展,136.3240.77,ios-all,CN
12684928334,2025-05-22,5,الكويت,متصفح edge رائع جداً من حيث الامان والبرمجه المتطوره حدا وترجمة اللغات بطريقة رائعة ولايوجد فيه ثغرات خبيثه انصح استخدامه كمتصفح أساسي بدلا من سفاري البائس,136.3240.77,ios-all,KW
12685775096,2025-05-22,5,Ótimo,Ótimo aplicativo,136.3240.77,ios-all,BR
12679010599,2025-05-21,5,The best!!,I been really like this how it’s smooth and I think the company should keep on going!,136.3240.77,ios-all,US
