review_id,date,rating,text,version,device,language,language_name,country
04b971e4-c558-4d5c-bd47-4699c305a406,2025-05-06,5,Recomendable.,135.0.3179.85,android-all,en,English,
05e84153-ce4e-4f24-9274-bc5c2b19f85b,2025-05-06,1,"Habéis quitado el botón resumen, muy útil y por lo que lo usaba, para eso vuelvo a brave, te contesto, lo has usado ahora el resumen no coge la página actual, vaya basura de actualización, espabilad actualización: ahora han estropeado el botón resumen, hace resúmenes de paginas anteriores, no la actual que estás viendo",136.0.3240.50,android-all,es,Spanish,
08287249-13c8-42a0-9c8b-874d305213eb,2025-05-06,5,excellent,135.0.3179.85,android-all,en,English,
08bed23b-bda4-467a-a386-94182fcfa074,2025-05-06,5,marvellous experience i love it more than any browsers,135.0.3179.85,android-all,en,English,
0964a306-9530-43b2-80a1-b0e2d3c80231,2025-05-06,3,pode melhorar o designer e adicionar os apps que são usados online.,135.0.3179.85,android-all,pt,Portuguese,
0dc44cec-3c95-40ee-ac7f-3431aa97a0dd,2025-05-06,5,I have used it for many years without any serious issues. Second thought no issues at all.,135.0.3179.85,android-all,en,English,
0e534dd2-3e54-456b-be4d-46bf56fa4952,2025-05-06,5,po meni je najbolja App,135.0.3179.85,android-all,sr,Serbian,
0f27d23d-4c95-4e02-a520-14761d69356c,2025-05-06,1,"this is good browser but at recent time there are may issues and I has contact with there support but I didn't get any support from there support service they are removed Gift Card option. there are no option to redeem points also they removed amazon, flipkart, croma, make my trip, so there is no option to redeem point. I Hope they resolve my problem and giving the gift cards options again.",,android-all,en,English,
146e1e79-e0fb-4b8a-a8d4-279b756b31cf,2025-05-06,3,"wenn man eine PDF offen will wird man neuerdings gefragt ob man nicht in den Play Store weitergeleiteten werden will, da kommt man dann zu irgendeinem Spiel. Der Zusammenhang ist mir nicht klar aber es nervt",135.0.3179.98,android-all,de,German,
198260fc-790d-4aa1-93ae-69600a26f655,2025-05-06,1,"slow. thanks for your response below. i also have google's app, it doesn't lag. no it's not my unit. i uninstalled your app. google's is far superior. i don't work for them. this is a review based on my experience.",135.0.3179.85,android-all,en,English,
19a9bc35-8a28-4ea4-90f5-822e6abadbb1,2025-05-06,3,为什么上个版本还有的工作区这个版本没有了,136.0.3240.50,android-all,zh,Chinese,
1db0a64e-802a-4fa4-b030-ffbdac2ffa73,2025-05-06,5,as a result of this app I was able to get back into to Google as a back door from Microsoft One Drive in word and edge browser through Google to forget to back the pictures and all kinds of things and I'm missing out before I start writing that's my story to say to you,135.0.3179.85,android-all,en,English,
2665530e-c33a-4776-af16-06c593162592,2025-05-06,5,buena app,,android-all,en,English,
282e202a-12ac-45c2-9d73-cd7feb373e6e,2025-05-06,5,いつも使ってます。ありがとうございます。,135.0.3179.98,android-all,ja,Japanese,
2cf1e3bd-e5bc-44f3-a33b-d11218f623c1,2025-05-06,5,muy buena la aplicación.,135.0.3179.85,android-all,es,Spanish,
34bc5ef7-7a76-4b11-8eb6-ab521d06b000,2025-05-06,5,"Going to ""Next 25"" without Me?<3 ((👶))",135.0.3179.85,android-all,en,English,
37a9be90-4302-4b41-a959-adf6f426c758,2025-05-06,2,Was my go to browser app until today. I opened the app and all my tabs and groups were gone. Even tabs from December and older were gone. I'm so angry and disappointed.,135.0.3179.98,android-all,en,English,
386a803d-07ec-4c03-93e1-8079c0b42de2,2025-05-06,5,tous va bien,135.0.3179.85,android-all,fr,French,
43e912e8-28df-40da-ab5c-4a9b86787419,2025-05-06,5,Good browser!,135.0.3179.98,android-all,fa,Persian,
4db3840b-4d14-407f-86f5-ab1cfc22e475,2025-05-06,5,Excelente.,,android-all,it,Italian,
4f95c326-917d-4785-8ebc-d530cebdec05,2025-05-06,5,"Wat een heerlijke vakantie voor onze Utopia! Onze Australian Shepherd heeft het geweldig gehad bij Rogier! Utopia heeft de beste zorg, strengheid en liefde gekregen die hij kon krijgen tijdens onze afwezigheid. Het was een lang verblijf, maar hij heeft het heerlijk gehad! Ze kijkt soms zelfs nostalgisch 😉",135.0.3179.72,android-all,nl,Dutch,
50ac10a3-c42a-4bdf-872c-d0cba3a17ff4,2025-05-06,5,excellent browser,135.0.3179.98,android-all,mk,Macedonian,
57e58125-22a3-402e-9f0e-615e216f5d4e,2025-05-06,5,😃,,android-all,en,English,
598967f7-30f3-481a-8c2f-531acd0bbe20,2025-05-06,5,awesome,135.0.3179.98,android-all,en,English,
5d3107e8-c2e9-44cd-83a0-af67318acb45,2025-05-06,5,lumayan bisa main joalor (bukan judi),,android-all,ceb,Cebuano,
